combined_fips,votes_dem_2020,votes_gop_2020,total_votes_2020,per_dem_2020,per_gop_2020,diff_2020,per_point_diff_2020,votes_dem_2016,votes_gop_2016,total_votes_2016,per_dem_2016,per_gop_2016,diff_2016,per_point_diff_2016,county_name,total_votes_2012,votes_dem_2012,votes_gop_2012,per_dem_2012,per_gop_2012,diff_2012,per_point_diff_2012
12043,1385,3782,5193,0.26670518,0.72828808,2397,0.4615829,1271,2996,4355,0.29184845,0.687944891,1725,-0.396096441,Glades County,3989,1603,2344,0.401855102,0.587615944,741,-0.185760842
12045,1985,6113,8163,0.243170403,0.748866838,4128,0.505696435,1715,5320,7279,0.235609287,0.730869625,3605,-0.495260338,Gulf County,7107,2013,4995,0.283241874,0.702828198,2982,-0.419586323
12047,1963,3815,5830,0.33670669,0.654373928,1852,0.317667238,1899,3439,5451,0.348376445,0.630893414,1540,-0.282516969,Hamilton County,5404,2226,3137,0.411917098,0.580495929,911,-0.16857883
12049,2298,6122,8485,0.270830878,0.721508544,3824,0.450677666,2147,5238,7577,0.283357529,0.691302626,3091,-0.407945097,Hardee County,7222,2461,4694,0.340764331,0.64995846,2233,-0.309194129
12051,4929,7906,12940,0.380911901,0.610973725,2977,0.230061824,4610,6192,11106,0.415090942,0.557536467,1582,-0.142445525,Hendry County,10185,4751,5355,0.466470299,0.525773196,604,-0.059302896
12053,37519,70412,108922,0.344457502,0.646444245,32893,0.301986743,31818,59029,93878,0.338929249,0.628784167,27211,-0.289854918,Hernando County,83593,37791,44906,0.452083308,0.537198091,7115,-0.085114782
12055,16938,34873,52170,0.32466935,0.6684493,17935,0.34377995,14901,29509,45589,0.326855162,0.647283336,14608,-0.320428173,Highlands County,42440,16147,25912,0.380466541,0.610556079,9765,-0.230089538
12057,376367,327398,712063,0.528558569,0.459787968,48969,0.0687706,306422,265928,595072,0.514932647,0.446883738,40494,0.068048908,Hillsborough County,541503,286158,249904,0.528451366,0.461500675,36254,0.066950691
12059,924,8080,9068,0.10189678,0.891045434,7156,0.789148655,852,7476,8506,0.10016459,0.878909005,6624,-0.778744416,Holmes County,8274,1264,6919,0.152767706,0.836233986,5655,-0.68346628
12061,37844,58872,97484,0.388207296,0.603914489,21028,0.215707193,28997,48564,79897,0.362929772,0.607832584,19567,-0.244902812,Indian River County,71445,27483,43441,0.384673525,0.608034152,15958,-0.223360627
12063,6766,15488,22419,0.301797582,0.690842589,8722,0.389045006,6383,14231,20997,0.303995809,0.67776349,7848,-0.373767681,Jackson County,20940,7342,13417,0.350620821,0.640735435,6075,-0.290114613
12065,3897,4479,8451,0.46112886,0.52999645,582,0.06886759,3537,3930,7641,0.462897527,0.514330585,393,-0.051433059,Jefferson County,7808,3945,3808,0.505251025,0.487704918,137,0.017546107
12067,510,3128,3658,0.139420448,0.855112083,2618,0.715691635,515,2795,3375,0.152592593,0.828148148,2280,-0.675555556,Lafayette County,3399,687,2668,0.20211827,0.784936746,1981,-0.582818476
